trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
synopsis,glaive,246215,glitchcore,0.622,0.79,8,-5.664,1,0.0973,0.00939,0.0,0.116,0.435,150.032,audio_features,3V5PkCdHl3g1w2uiimU0jT,spotify:track:3V5PkCdHl3g1w2uiimU0jT,https://api.spotify.com/v1/tracks/3V5PkCdHl3g1w2uiimU0jT,https://api.spotify.com/v1/audio-analysis/3V5PkCdHl3g1w2uiimU0jT,123204,4
walking around with no hands,glaive,477324,glitchcore,0.64,0.526,7,-6.643,1,0.0408,0.00956,0.0,0.0955,0.526,150.027,audio_features,26ZGLRIOtKcio6vF5ZVVd1,spotify:track:26ZGLRIOtKcio6vF5ZVVd1,https://api.spotify.com/v1/tracks/26ZGLRIOtKcio6vF5ZVVd1,https://api.spotify.com/v1/audio-analysis/26ZGLRIOtKcio6vF5ZVVd1,121604,4
Cold,Delto,45636,glitchcore,0.714,0.523,4,-8.489,0,0.0545,0.0135,0.00167,0.117,0.367,102.484,audio_features,1w8Itvy9df9DuPZUUWdq9y,spotify:track:1w8Itvy9df9DuPZUUWdq9y,https://api.spotify.com/v1/tracks/1w8Itvy9df9DuPZUUWdq9y,https://api.spotify.com/v1/audio-analysis/1w8Itvy9df9DuPZUUWdq9y,81951,4
#BrooklynBloodPop!,SyKo,145610,glitchcore,0.691,0.814,1,-3.788,0,0.117,0.0164,0.0,0.366,0.509,132.012,audio_features,7K9Z3yFNNLv5kwTjQYGjnu,spotify:track:7K9Z3yFNNLv5kwTjQYGjnu,https://api.spotify.com/v1/tracks/7K9Z3yFNNLv5kwTjQYGjnu,https://api.spotify.com/v1/audio-analysis/7K9Z3yFNNLv5kwTjQYGjnu,145611,4
1984,glaive,458813,glitchcore,0.665,0.746,9,-2.98,1,0.044,0.0125,0.0,0.148,0.426,134.999,audio_features,1BqhfAEw4jigpJl0O23jnS,spotify:track:1BqhfAEw4jigpJl0O23jnS,https://api.spotify.com/v1/tracks/1BqhfAEw4jigpJl0O23jnS,https://api.spotify.com/v1/audio-analysis/1BqhfAEw4jigpJl0O23jnS,150222,4
2009,glaive,109827,glitchcore,0.473,0.849,5,-2.434,0,0.052,0.26,0.0,0.103,0.61,79.538,audio_features,1LWYInY2Cl77jqgF4U1CJd,spotify:track:1LWYInY2Cl77jqgF4U1CJd,https://api.spotify.com/v1/tracks/1LWYInY2Cl77jqgF4U1CJd,https://api.spotify.com/v1/audio-analysis/1LWYInY2Cl77jqgF4U1CJd,110339,4
all dogs go to heaven - outro,glaive,176639,glitchcore,0.575,0.454,3,-6.359,1,0.0283,0.241,0.0,0.102,0.0762,81.991,audio_features,3jjRnMBYlygg5GzqtiMjgr,spotify:track:3jjRnMBYlygg5GzqtiMjgr,https://api.spotify.com/v1/tracks/3jjRnMBYlygg5GzqtiMjgr,https://api.spotify.com/v1/audio-analysis/3jjRnMBYlygg5GzqtiMjgr,143415,4
astrid,glaive,101744,glitchcore,0.497,0.759,9,-6.8,1,0.19,0.109,0.0,0.112,0.206,169.476,audio_features,3SpRtNO7GKWaFyWydXArvn,spotify:track:3SpRtNO7GKWaFyWydXArvn,https://api.spotify.com/v1/tracks/3SpRtNO7GKWaFyWydXArvn,https://api.spotify.com/v1/audio-analysis/3SpRtNO7GKWaFyWydXArvn,101938,4
bastard,glaive,245860,glitchcore,0.651,0.589,2,-4.844,1,0.0556,0.0233,0.0,0.111,0.347,81.567,audio_features,22MVIVqYMJbhA5OHRNRzdS,spotify:track:22MVIVqYMJbhA5OHRNRzdS,https://api.spotify.com/v1/tracks/22MVIVqYMJbhA5OHRNRzdS,https://api.spotify.com/v1/audio-analysis/22MVIVqYMJbhA5OHRNRzdS,123036,4
detest me,glaive,356476,glitchcore,0.485,0.681,7,-2.22,1,0.0621,0.0316,0.0,0.135,0.514,147.853,audio_features,0XZ5gv6EBByIEuSOIiYaon,spotify:track:0XZ5gv6EBByIEuSOIiYaon,https://api.spotify.com/v1/tracks/0XZ5gv6EBByIEuSOIiYaon,https://api.spotify.com/v1/audio-analysis/0XZ5gv6EBByIEuSOIiYaon,118931,4
dropout,brakence,1004610,glitchcore,0.699,0.322,1,-11.429,1,0.0634,0.214,0.0,0.0993,0.757,140.875,audio_features,1hV0Ue00iyNCZvb1n0VyGf,spotify:track:1hV0Ue00iyNCZvb1n0VyGf,https://api.spotify.com/v1/tracks/1hV0Ue00iyNCZvb1n0VyGf,https://api.spotify.com/v1/audio-analysis/1hV0Ue00iyNCZvb1n0VyGf,166809,3
i wanna slam my head against the wall,glaive,232910,glitchcore,0.476,0.816,5,-3.412,1,0.139,0.0605,0.0,0.107,0.584,182.269,audio_features,4dVR8jBG0RQ7jbdi8GRkyd,spotify:track:4dVR8jBG0RQ7jbdi8GRkyd,https://api.spotify.com/v1/tracks/4dVR8jBG0RQ7jbdi8GRkyd,https://api.spotify.com/v1/audio-analysis/4dVR8jBG0RQ7jbdi8GRkyd,116551,4
icarus,glaive,515014,glitchcore,0.621,0.838,9,-5.006,0,0.0909,0.0416,0.0,0.347,0.329,103.103,audio_features,5L1eW2bt7pDbjhNLKWKom2,spotify:track:5L1eW2bt7pDbjhNLKWKom2,https://api.spotify.com/v1/tracks/5L1eW2bt7pDbjhNLKWKom2,https://api.spotify.com/v1/audio-analysis/5L1eW2bt7pDbjhNLKWKom2,116505,4
justlikeu4theimage,glaive,30457928,glitchcore,0.708,0.723,1,-4.449,1,0.0545,0.0196,0.0,0.201,0.673,141.944,audio_features,7EWMUJJiCyFSiQSWeU0fPo,spotify:track:7EWMUJJiCyFSiQSWeU0fPo,https://api.spotify.com/v1/tracks/7EWMUJJiCyFSiQSWeU0fPo,https://api.spotify.com/v1/audio-analysis/7EWMUJJiCyFSiQSWeU0fPo,117000,4
lap #1,glaive,127271,glitchcore,0.628,0.538,0,-5.346,1,0.0349,0.074,0.0,0.0795,0.118,143.036,audio_features,4VNfmajNNjcgh9TvOT2HZt,spotify:track:4VNfmajNNjcgh9TvOT2HZt,https://api.spotify.com/v1/tracks/4VNfmajNNjcgh9TvOT2HZt,https://api.spotify.com/v1/audio-analysis/4VNfmajNNjcgh9TvOT2HZt,127355,4
masquerade,siouxxie sixxsta,144535,glitchcore,0.608,0.792,9,-5.721,1,0.0355,0.000674,0.653,0.252,0.611,161.104,audio_features,0RYHqnmtNRfbYxP6Dn8Vse,spotify:track:0RYHqnmtNRfbYxP6Dn8Vse,https://api.spotify.com/v1/tracks/0RYHqnmtNRfbYxP6Dn8Vse,https://api.spotify.com/v1/audio-analysis/0RYHqnmtNRfbYxP6Dn8Vse,144536,4
poison,glaive,408283,glitchcore,0.515,0.527,0,-5.719,0,0.0385,0.0633,0.0,0.214,0.371,159.987,audio_features,2eoIiFKxEEn77cFFQ7NeI8,spotify:track:2eoIiFKxEEn77cFFQ7NeI8,https://api.spotify.com/v1/tracks/2eoIiFKxEEn77cFFQ7NeI8,https://api.spotify.com/v1/audio-analysis/2eoIiFKxEEn77cFFQ7NeI8,136134,4
prick,glaive,412516,glitchcore,0.403,0.888,1,-2.842,1,0.12,0.0262,0.0,0.201,0.404,84.947,audio_features,6IUVdUkKw18jHqFAjl7y8k,spotify:track:6IUVdUkKw18jHqFAjl7y8k,https://api.spotify.com/v1/tracks/6IUVdUkKw18jHqFAjl7y8k,https://api.spotify.com/v1/audio-analysis/6IUVdUkKw18jHqFAjl7y8k,134112,4
rosier,brakence,5062403,glitchcore,0.521,0.254,2,-13.554,1,0.407,0.654,0.0,0.427,0.55,115.65,audio_features,5fr1gqzvwrPrGS76ltBsFK,spotify:track:5fr1gqzvwrPrGS76ltBsFK,https://api.spotify.com/v1/tracks/5fr1gqzvwrPrGS76ltBsFK,https://api.spotify.com/v1/audio-analysis/5fr1gqzvwrPrGS76ltBsFK,222493,4
stephany,glaive,3019435,glitchcore,0.506,0.836,9,-5.938,1,0.155,0.083,0.0,0.0942,0.342,154.626,audio_features,4DOvwcmqmeJXcomd7xhleR,spotify:track:4DOvwcmqmeJXcomd7xhleR,https://api.spotify.com/v1/tracks/4DOvwcmqmeJXcomd7xhleR,https://api.spotify.com/v1/audio-analysis/4DOvwcmqmeJXcomd7xhleR,117313,4
synopsis,glaive,246215,glitchcore,0.622,0.79,8,-5.664,1,0.0973,0.00939,0.0,0.116,0.435,150.032,audio_features,3V5PkCdHl3g1w2uiimU0jT,spotify:track:3V5PkCdHl3g1w2uiimU0jT,https://api.spotify.com/v1/tracks/3V5PkCdHl3g1w2uiimU0jT,https://api.spotify.com/v1/audio-analysis/3V5PkCdHl3g1w2uiimU0jT,123204,4
walking around with no hands,glaive,477324,glitchcore,0.64,0.526,7,-6.643,1,0.0408,0.00956,0.0,0.0955,0.526,150.027,audio_features,26ZGLRIOtKcio6vF5ZVVd1,spotify:track:26ZGLRIOtKcio6vF5ZVVd1,https://api.spotify.com/v1/tracks/26ZGLRIOtKcio6vF5ZVVd1,https://api.spotify.com/v1/audio-analysis/26ZGLRIOtKcio6vF5ZVVd1,121604,4
Cold,Delto,45636,glitchcore,0.714,0.523,4,-8.489,0,0.0545,0.0135,0.00167,0.117,0.367,102.484,audio_features,1w8Itvy9df9DuPZUUWdq9y,spotify:track:1w8Itvy9df9DuPZUUWdq9y,https://api.spotify.com/v1/tracks/1w8Itvy9df9DuPZUUWdq9y,https://api.spotify.com/v1/audio-analysis/1w8Itvy9df9DuPZUUWdq9y,81951,4
